x,y
1344,1157
1459,1194
1459,1194
1472,1197
1472,1197
1483,1201
1483,1201
1492,1203
1492,1203
1497,1204
1502,1205
1502,1205
1507,1207
1507,1207
1510,1209
1510,1209
1514,1210
1519,1212
1519,1212
1523,1215
1529,1217
1529,1217
1537,1220
1537,1220
1545,1225
1545,1225
1553,1228
1553,1228
1562,1232
1562,1232
1570,1235
1570,1235
1570,1235
1578,1238
1578,1238
1584,1242
1584,1242
1590,1244
1590,1244
1595,1247
1595,1247
1600,1249
1600,1249
1605,1250
1605,1250
1605,1250
1608,1251
1608,1251
1610,1252
1610,1252
1612,1253
1612,1253
1613,1253
1613,1253
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1615,1254
1616,1254
1616,1254
1616,1254
1617,1254
1617,1254
1619,1254
1619,1254
1620,1255
1620,1255
1624,1257
